Dron1_X,Dron1_Y,Dron1_Z,Dron4_X,Dron4_Y,Dron4_Z,Dron2_X,Dron2_Y,Dron2_Z,Dron3_X,Dron3_Y,Dron3_Z
196.18166,443.6729,214.52107,325.879,568.2177,216.47696,238.23164,428.5011,214.68085,155.42084,515.49713,213.95518
196.18236,443.6733,214.51772,325.88217,568.2272,216.46515,238.22897,428.50244,214.67804,155.419,515.4968,213.95451
196.18298,443.67374,214.51459,325.88446,568.23584,216.45592,238.22643,428.50372,214.67554,155.4173,515.49695,213.95335
196.18353,443.6742,214.5117,325.8859,568.24365,216.44931,238.22398,428.505,214.67334,155.41571,515.49744,213.95169
196.18402,443.6747,214.50905,325.88647,568.2504,216.44536,238.22166,428.5063,214.67143,155.41426,515.4983,213.94954
196.18443,443.6753,214.50664,325.88623,568.2562,216.44408,238.21947,428.50754,214.6698,155.41293,515.4996,213.94695
196.18477,443.6759,214.50447,325.88522,568.2608,216.44539,238.21739,428.50882,214.66847,155.41171,515.50116,213.94395
196.18506,443.67654,214.50253,325.88354,568.26416,216.44914,238.21545,428.5101,214.66742,155.41061,515.503,213.94066
196.18527,443.67728,214.50082,325.88132,568.2663,216.4551,238.21367,428.5114,214.66663,155.40962,515.50507,213.93715
196.18544,443.67804,214.49936,325.87872,568.26715,216.46292,238.21205,428.51273,214.66612,155.40869,515.5072,213.93353
196.18555,443.67883,214.4981,325.876,568.2668,216.4722,238.2106,428.5141,214.66585,155.40785,515.50934,213.92992
196.1856,443.6797,214.49706,325.87335,568.2653,216.48242,238.20935,428.51553,214.6658,155.40709,515.51135,213.92639
196.1856,443.68054,214.49622,325.871,568.2629,216.49304,238.20828,428.517,214.66597,155.40637,515.51324,213.92305
196.18553,443.68146,214.49557,325.86908,568.2597,216.50351,238.20741,428.5185,214.66629,155.4057,515.51495,213.91997
196.18544,443.68237,214.49513,325.86774,568.2561,216.51332,238.20674,428.52002,214.66672,155.40509,515.51636,213.91719
196.18532,443.68332,214.49486,325.867,568.25226,216.52197,238.20627,428.52158,214.66724,155.40453,515.5175,213.91478
196.18518,443.6843,214.49475,325.86694,568.24854,216.52902,238.20598,428.52313,214.66777,155.40399,515.51843,213.91273
196.18501,443.68524,214.4948,325.86752,568.2452,216.5341,238.20587,428.52466,214.66827,155.4035,515.51904,213.9111
196.18486,443.68622,214.49498,325.86874,568.2425,216.53696,238.20593,428.52612,214.66873,155.40303,515.5194,213.90988
196.1847,443.68716,214.49529,325.87048,568.24054,216.53748,238.20615,428.5276,214.66908,155.40259,515.5196,213.90906
196.18456,443.68814,214.4957,325.87268,568.23956,216.5356,238.20651,428.529,214.66931,155.40215,515.51953,213.90865
196.18443,443.6891,214.4962,325.87527,568.2396,216.53146,238.20699,428.5303,214.66939,155.40169,515.51935,213.90863
196.18434,443.69003,214.49677,325.87808,568.2407,216.52533,238.20758,428.53156,214.66931,155.40123,515.519,213.90901
196.18427,443.69092,214.4974,325.88098,568.2428,216.51756,238.20824,428.53275,214.66907,155.40076,515.51843,213.90976
196.1842,443.6918,214.49808,325.88385,568.24567,216.5087,238.20895,428.5338,214.66866,155.40027,515.51776,213.91086
196.18417,443.69266,214.4988,325.8865,568.2491,216.4993,238.20969,428.5348,214.66809,155.39975,515.517,213.91225
