id;ts[s];lat[deg];lon[deg];alt[deg];ivx[m/s];ivy[m/s];ivz[m/s];gvx[rad/s];gvy[rad/s];gvz[rad/s];drone_or_x[rad];drone_or_y[rad];drone_or_z[rad];drone_or_q_x;drone_or_q_y;drone_or_q_z;drone_or_q_w;distance;collision;drone_x[m];drone_y[m];drone_z[m];pressure[Pa];qnh[hPa]
0;1652804975076919296;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;-0.001272607478313148;0.0008493202622048557;5.936765955993906e-05;0.0;0.0;1.5707954496293248;-0.0;0.0;0.7071065306663513;0.7071070671081543;-0.025520963594317436;False;0.0;0.0;-0.07999999076128006;99867.015625;1013.25
1;1652804975088919552;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.00930513720959425;0.005037765949964523;-0.00334292184561491;-0.01977130047986205;-0.006044863719759909;-0.3609886413406638;-0.010267403908073902;-0.0011985884048044682;-0.17953570187091827;0.9836970567703247;-0.025520963594317436;False;-0.021479524672031403;-0.31704381108283997;-1.0271892547607422;99867.015625;1013.25
2;1652804975097919744;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.0883369892835617;0.025104016065597534;0.001299178577028215;-0.018213246549315474;-0.005620707824739997;-0.3625288290039976;-0.010267403908073902;-0.0011985884048044682;-0.17953570187091827;0.9836970567703247;1.2564767599105835;False;-0.021479524672031403;-0.31704381108283997;-1.0271892547607422;99860.3046875;1013.25
3;1652804975109920000;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.17814968526363373;0.04562833160161972;-0.00020722443878185004;-0.015797458596954566;-0.004967884906805226;-0.3640173157576958;-0.010267403908073902;-0.0011985884048044682;-0.17953570187091827;0.9836970567703247;1.2564767599105835;False;-0.021479524672031403;-0.31704381108283997;-1.0271892547607422;99860.3046875;1013.25
4;1652804975118920192;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.16076809167861938;0.048510923981666565;0.0005353681626729667;-0.014555848443859364;-0.004581104800685476;-0.36591125374965394;-0.007838754914700985;-0.0009545889915898442;-0.1819472461938858;0.9832766056060791;1.370592474937439;False;-0.023127049207687378;-0.3408070206642151;-1.0268760919570923;99861.8515625;1013.25
5;1652804975127920384;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.10309522598981857;0.03663606196641922;0.0007969951839186251;-0.013996990177102028;-0.004362300862846308;-0.3672716829672789;-0.00766904279589653;-0.0009216162143275142;-0.18261487782001495;0.9831541776657104;1.370592474937439;False;-0.023630885407328606;-0.34802737832069397;-1.027001976966858;99861.8515625;1013.25
6;1652804975139920640;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.04600713029503822;0.02124974876642227;0.0009969243546947837;-0.013508362780763596;-0.004145284740802642;-0.36858278742625544;-0.00766904279589653;-0.0009216162143275142;-0.18261487782001495;0.9831541776657104;0.8268909454345703;False;-0.023630885407328606;-0.34802737832069397;-1.027001976966858;99854.5234375;1013.25
7;1652804975148920832;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.05127554386854172;0.01847369782626629;-0.0009120722534134984;-0.012039328450093189;-0.0037632878359851263;-0.3714610620261785;-0.006263417191803455;-0.0007375592831522226;-0.1846718043088913;0.9827799797058105;0.8268909454345703;False;-0.025307847186923027;-0.3721432089805603;-1.0262809991836548;99854.5234375;1013.25
8;1652804975157921024;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.07696795463562012;0.01742396503686905;-0.0014256997965276241;-0.011134104636336852;-0.003550938361714464;-0.37262251037196814;-0.006263417191803455;-0.0007375592831522226;-0.1846718043088913;0.9827799797058105;0.8268909454345703;False;-0.025307847186923027;-0.3721432089805603;-1.0262809991836548;99854.5234375;1013.25
9;1652804975166921216;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.09309504926204681;0.022953487932682037;0.002733767731115222;-0.010025331150766635;-0.0032580689885093016;-0.3741063975971841;-0.005368391517549753;-0.0006766014266759157;-0.18596945703029633;0.9825406074523926;0.7569848299026489;False;-0.026472173631191254;-0.38903456926345825;-1.0264359712600708;99853.5078125;1013.25
10;1652804975175921408;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.08142486959695816;0.024369053542613983;0.00032244721660390496;-0.009365472958327542;-0.0030512558545534875;-0.375172802467506;-0.005368391517549753;-0.0006766014266759157;-0.18596945703029633;0.9825406074523926;0.7569848299026489;False;-0.026472173631191254;-0.38903456926345825;-1.0264359712600708;99853.5078125;1013.25
11;1652804975184921600;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.05968319624662399;0.022031182423233986;0.0009491564705967903;-0.008924089785183865;-0.0028772832273203258;-0.37620055260157365;-0.004753821529448032;-0.0005932166241109371;-0.18699699640274048;0.9823487997055054;0.5965036153793335;False;-0.027482619509100914;-0.4035932421684265;-1.0262703895568848;99851.4140625;1013.25
12;1652804975193921792;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.04408247396349907;0.017912069335579872;0.00267160777002573;-0.008553821878394676;-0.0027294438026051926;-0.37719106377566314;-0.004753821529448032;-0.0005932166241109371;-0.18699699640274048;0.9823487997055054;0.5965036153793335;False;-0.027482619509100914;-0.4035932421684265;-1.0262703895568848;99851.4140625;1013.25
13;1652804975202921984;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.04034051671624184;0.015100356191396713;0.0032388269901275635;-0.007621408930824823;-0.002437678409143447;-0.37906762185163784;-0.004100435879081488;-0.0005063512944616377;-0.18840359151363373;0.9820829033851624;0.9233265519142151;False;-0.02899934910237789;-0.4254744350910187;-1.0266610383987427;99855.8359375;1013.25
14;1652804975211922176;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.04728306084871292;0.01407441683113575;0.000827712647151202;-0.006982686309737923;-0.0022626137123255424;-0.38024451323057784;-0.004100435879081488;-0.0005063512944616377;-0.18840359151363373;0.9820829033851624;0.9233265519142151;False;-0.02899934910237789;-0.4254744350910187;-1.0266610383987427;99855.8359375;1013.25
15;1652804975220922368;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.04949937015771866;0.012242496013641357;0.0019518932094797492;-0.0065045404425334045;-0.0021382894012226335;-0.3810906692157526;-0.003395889885723591;-0.00043393386295065284;-0.18939639627933502;0.9818947315216064;0.9233265519142151;False;-0.030183199793100357;-0.4426184892654419;-1.0252853631973267;99855.8359375;1013.25
16;1652804975229922560;47.641439882715225;-122.14010233628353;122.09186553955078;0.0;0.0;0.0;0.04550047218799591;0.012617799453437328;-0.00011257700680289418;-0.0060958307216116715;-0.002016986219083776;-0.38190598565668865;-0.003395889885723591;-0.00043393386295065284;-0.18939639627933502;0.9818947315216064;0.6222214102745056;False;-0.030183199793100357;-0.4426184892654419;-1.0252853631973267;99851.6953125;1013.25
