id;name;x[m];y[m];z[m];or_x[rad];or_y[rad];or_z[rad];or_q_x;or_q_y;or_q_z;or_q_w
1;znacznik1;3.3499999046325684;3.5799999237060547;-1.4499999284744263;-3.1415924151711287;-2.3841850804729117e-07;2.384184227821866e-07;0.9999998807907104;1.1920923981278975e-07;1.1920925402364446e-07;1.1920925402364446e-07
2;znacznik2;2.5;3.5799999237060547;-1.4499999284744263;-3.141591938334056;1.6940658945086007e-21;2.3841842278219338e-07;-1.0;-1.1920921139108032e-07;4.26325370405517e-14;4.26325370405517e-14
3;znacznik3;1.659999966621399;3.5799999237060547;-1.4499999284744263;-3.141591938334056;1.6940658945086007e-21;2.3841842278219338e-07;-1.0;-1.1920921139108032e-07;4.26325370405517e-14;4.26325370405517e-14
4;znacznik4;3.3499999046325684;3.5799999237060547;-0.47999998927116394;-3.141591938334056;1.6940658945086007e-21;2.3841842278219338e-07;-1.0;-1.1920921139108032e-07;4.26325370405517e-14;4.26325370405517e-14
5;znacznik5;2.5;3.5799999237060547;-0.4699999988079071;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
6;znacznik6;1.659999966621399;3.5799999237060547;-0.4599999785423279;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
7;znacznik7;-1.559999942779541;5.429999828338623;-2.1599998474121094;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
8;znacznik8;-2.8399999141693115;5.429999828338623;-2.1599998474121094;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
9;znacznik9;-1.559999942779541;5.429999828338623;-1.3700000047683716;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
10;znacznik10;-2.8399999141693115;5.429999828338623;-1.3700000047683716;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
11;znacznik11;-1.559999942779541;5.429999828338623;-0.550000011920929;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
12;znacznik12;-2.8399999141693115;5.429999828338623;-0.550000011920929;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
13;znacznik13;-3.799999952316284;3.619999885559082;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
14;znacznik14;-3.799999952316284;2.7300000190734863;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
15;znacznik15;-3.799999952316284;1.8700000047683716;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
16;znacznik16;-3.799999952316284;3.619999885559082;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
17;znacznik17;-3.799999952316284;2.7300000190734863;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
18;znacznik18;-3.799999952316284;1.8700000047683716;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
19;znacznik19;-3.799999952316284;3.619999885559082;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
20;znacznik20;-3.799999952316284;2.7300000190734863;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
21;znacznik21;-3.799999952316284;1.8700000047683716;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
22;znacznik22;-3.799999952316284;0.8999999761581421;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
23;znacznik23;-3.799999952316284;0.3400000035762787;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
24;znacznik24;-3.799999952316284;-0.2199999988079071;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
25;znacznik25;-3.799999952316284;0.8999999761581421;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
26;znacznik26;-3.799999952316284;0.3400000035762787;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
27;znacznik27;-3.799999952316284;-0.2199999988079071;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
28;znacznik28;-3.799999952316284;0.8999999761581421;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
29;znacznik29;-3.799999952316284;0.3400000035762787;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
30;znacznik30;-3.799999952316284;-0.2199999988079071;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
31;znacznik31;-3.799999952316284;-1.0199999809265137;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
32;znacznik32;-3.799999952316284;-2.4600000381469727;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
33;znacznik33;-3.799999952316284;-1.0199999809265137;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
34;znacznik34;-3.799999952316284;-2.4600000381469727;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
35;znacznik35;-3.799999952316284;-1.0199999809265137;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
36;znacznik36;-3.799999952316284;-2.4600000381469727;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
37;znacznik37;-3.799999952316284;-3.179999828338623;-2.3499999046325684;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
38;znacznik38;-3.799999952316284;-3.179999828338623;-1.5899999141693115;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
39;znacznik39;-3.799999952316284;-3.179999828338623;-0.9300000071525574;0.0;0.0;-1.5707961239789638;0.0;-0.0;-0.7071067094802856;-0.7071067094802856
40;znacznik40;-3.259999990463257;-5.429999828338623;-2.3499999046325684;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
41;znacznik41;-2.5899999141693115;-5.429999828338623;-2.3499999046325684;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
42;znacznik42;-3.259999990463257;-5.429999828338623;-1.5899999141693115;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
43;znacznik43;-2.5899999141693115;-5.429999828338623;-1.5899999141693115;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
44;znacznik44;-3.259999990463257;-5.429999828338623;-0.9300000071525574;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
45;znacznik45;-2.5899999141693115;-5.429999828338623;-0.9300000071525574;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
46;znacznik46;2.440000057220459;-5.429999828338623;-2.3499999046325684;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
47;znacznik47;3.109999895095825;-5.429999828338623;-2.3499999046325684;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
48;znacznik48;2.440000057220459;-5.429999828338623;-1.5899999141693115;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
49;znacznik49;3.109999895095825;-5.429999828338623;-1.5899999141693115;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
50;znacznik50;2.440000057220459;-5.429999828338623;-0.9300000071525574;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
51;znacznik51;3.109999895095825;-5.429999828338623;-0.9300000071525574;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
52;znacznik52;3.799999952316284;-5.190000057220459;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
53;znacznik53;3.799999952316284;-4.690000057220459;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
54;znacznik54;3.799999952316284;-3.179999828338623;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
